size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 128, 40, 1269535.250000, 0.001131, 0.003000
5120, 128, 40, 1312148.875000, 0.001094, 0.003000
5120, 128, 40, 1432025.000000, 0.001003, 0.004000
5120, 128, 40, 1451243.500000, 0.000990, 0.004000
5120, 128, 40, 1320527.250000, 0.001087, 0.004000
5120, 128, 40, 1350409.250000, 0.001063, 0.003000
5120, 128, 40, 1367361.375000, 0.001050, 0.003000
5120, 128, 40, 1351466.625000, 0.001063, 0.003000
5120, 128, 40, 1358626.625000, 0.001057, 0.004000
5120, 128, 40, 1315803.625000, 0.001091, 0.004000
5120, 128, 40, 1263139.000000, 0.001137, 0.003000
5120, 128, 40, 1436885.250000, 0.000999, 0.003000
5120, 128, 40, 1375534.125000, 0.001044, 0.004000
5120, 128, 40, 1406179.250000, 0.001021, 0.004000
5120, 128, 40, 1318083.875000, 0.001090, 0.003000
5120, 128, 40, 1415716.625000, 0.001014, 0.004000
5120, 128, 40, 1413309.000000, 0.001016, 0.004000
5120, 128, 40, 1398205.500000, 0.001027, 0.004000
5120, 128, 40, 1092823.625000, 0.001314, 0.004000
5120, 128, 40, 1405958.875000, 0.001021, 0.004000
5120, 128, 40, 1328030.375000, 0.001081, 0.003000
5120, 128, 40, 1340286.125000, 0.001071, 0.003000
5120, 128, 40, 1388085.500000, 0.001035, 0.004000
5120, 128, 40, 1470020.875000, 0.000977, 0.003000
5120, 128, 40, 1380314.875000, 0.001040, 0.004000
5120, 128, 40, 1216503.125000, 0.001180, 0.003000
5120, 128, 40, 1363870.750000, 0.001053, 0.004000
5120, 128, 40, 1391269.875000, 0.001032, 0.003000
5120, 128, 40, 1343295.000000, 0.001069, 0.003000
5120, 128, 40, 1424795.875000, 0.001008, 0.004000
5120, 128, 40, 1387999.625000, 0.001035, 0.004000
5120, 128, 40, 1309315.875000, 0.001097, 0.003000
5120, 128, 40, 1333079.875000, 0.001077, 0.003000
5120, 128, 40, 1393170.250000, 0.001031, 0.003000
5120, 128, 40, 1387013.000000, 0.001035, 0.003000
5120, 128, 40, 1387270.000000, 0.001035, 0.004000
5120, 128, 40, 1415538.000000, 0.001014, 0.004000
5120, 128, 40, 1295818.875000, 0.001108, 0.004000
5120, 128, 40, 1298518.625000, 0.001106, 0.004000
5120, 128, 40, 1321460.500000, 0.001087, 0.004000
5120, 128, 40, 1427288.250000, 0.001006, 0.004000
5120, 128, 40, 1311420.250000, 0.001095, 0.003000
5120, 128, 40, 1392521.875000, 0.001031, 0.004000
5120, 128, 40, 1289600.375000, 0.001114, 0.003000
5120, 128, 40, 1337689.250000, 0.001074, 0.003000
5120, 128, 40, 1300890.000000, 0.001104, 0.003000
5120, 128, 40, 1364534.250000, 0.001052, 0.003000
5120, 128, 40, 1413754.125000, 0.001016, 0.004000
5120, 128, 40, 1293615.125000, 0.001110, 0.003000
5120, 128, 40, 1292050.750000, 0.001111, 0.004000
5120, 128, 40, 1246716.375000, 0.001152, 0.004000
5120, 128, 40, 1315572.250000, 0.001092, 0.004000
5120, 128, 40, 1335619.125000, 0.001075, 0.004000
5120, 128, 40, 1358914.875000, 0.001057, 0.004000
5120, 128, 40, 1380654.750000, 0.001040, 0.004000
5120, 128, 40, 1278577.750000, 0.001123, 0.004000
5120, 128, 40, 1379890.625000, 0.001041, 0.004000
5120, 128, 40, 1095625.000000, 0.001311, 0.003000
5120, 128, 40, 1479325.000000, 0.000971, 0.004000
5120, 128, 40, 1371163.250000, 0.001047, 0.004000
5120, 128, 40, 1310884.000000, 0.001095, 0.004000
5120, 128, 40, 1439512.375000, 0.000998, 0.005000
5120, 128, 40, 1343295.000000, 0.001069, 0.005000
5120, 128, 40, 1318045.125000, 0.001090, 0.003000
5120, 128, 40, 1351059.875000, 0.001063, 0.003000
5120, 128, 40, 1399164.500000, 0.001026, 0.003000
5120, 128, 40, 1366653.500000, 0.001051, 0.004000
5120, 128, 40, 1379678.375000, 0.001041, 0.004000
5120, 128, 40, 1284249.000000, 0.001118, 0.003000
5120, 128, 40, 1285352.500000, 0.001117, 0.003000
5120, 128, 40, 1522744.375000, 0.000943, 0.004000
5120, 128, 40, 1351548.000000, 0.001063, 0.004000
5120, 128, 40, 1329289.125000, 0.001080, 0.003000
5120, 128, 40, 1378491.875000, 0.001042, 0.004000
5120, 128, 40, 1266704.375000, 0.001134, 0.004000
5120, 128, 40, 1358873.625000, 0.001057, 0.003000
5120, 128, 40, 1260407.375000, 0.001139, 0.004000
5120, 128, 40, 1353668.000000, 0.001061, 0.004000
5120, 128, 40, 1334189.625000, 0.001076, 0.004000
5120, 128, 40, 1242952.500000, 0.001155, 0.004000
5120, 128, 40, 1413709.750000, 0.001016, 0.003000
5120, 128, 40, 1405166.375000, 0.001022, 0.004000
5120, 128, 40, 1441500.750000, 0.000996, 0.004000
5120, 128, 40, 1372043.500000, 0.001047, 0.004000
5120, 128, 40, 1332248.875000, 0.001078, 0.004000
5120, 128, 40, 1306000.875000, 0.001100, 0.004000
5120, 128, 40, 1428105.875000, 0.001006, 0.004000
5120, 128, 40, 1396812.875000, 0.001028, 0.004000
5120, 128, 40, 1386969.875000, 0.001035, 0.004000
5120, 128, 40, 1374775.500000, 0.001045, 0.005000
5120, 128, 40, 1321966.625000, 0.001086, 0.003000
5120, 128, 40, 1343295.000000, 0.001069, 0.005000
5120, 128, 40, 1293950.875000, 0.001110, 0.004000
5120, 128, 40, 1328856.125000, 0.001081, 0.003000
5120, 128, 40, 1405958.875000, 0.001021, 0.004000
5120, 128, 40, 1388944.500000, 0.001034, 0.004000
5120, 128, 40, 1333079.875000, 0.001077, 0.004000
5120, 128, 40, 1438728.000000, 0.000998, 0.004000
5120, 128, 40, 1327873.125000, 0.001081, 0.004000
5120, 128, 40, 1377603.250000, 0.001042, 0.003000
5120, 128, 40, 1256877.125000, 0.001143, 0.005000
5120, 128, 40, 1365239.875000, 0.001052, 0.004000
5120, 128, 40, 1419433.250000, 0.001012, 0.004000
5120, 128, 40, 1338168.000000, 0.001073, 0.004000
5120, 128, 40, 1327558.875000, 0.001082, 0.004000
5120, 128, 40, 1428697.000000, 0.001005, 0.004000
5120, 128, 40, 1488895.500000, 0.000965, 0.004000
5120, 128, 40, 1424163.000000, 0.001008, 0.003000
5120, 128, 40, 1281498.625000, 0.001121, 0.003000
5120, 128, 40, 1375281.250000, 0.001044, 0.003000
5120, 128, 40, 1093649.125000, 0.001313, 0.004000
5120, 128, 40, 1358914.875000, 0.001057, 0.004000
5120, 128, 40, 1391269.875000, 0.001032, 0.004000
5120, 128, 40, 1260903.125000, 0.001139, 0.004000
5120, 128, 40, 1366861.500000, 0.001051, 0.003000
5120, 128, 40, 1310462.875000, 0.001096, 0.003000
5120, 128, 40, 1347975.500000, 0.001065, 0.005000
5120, 128, 40, 1407943.750000, 0.001020, 0.004000
5120, 128, 40, 1457891.000000, 0.000985, 0.004000
5120, 128, 40, 1357352.875000, 0.001058, 0.004000
5120, 128, 40, 1284065.375000, 0.001118, 0.004000
5120, 128, 40, 1408474.250000, 0.001020, 0.004000
5120, 128, 40, 1338287.625000, 0.001073, 0.005000
5120, 128, 40, 1323291.875000, 0.001085, 0.004000
5120, 128, 40, 1377264.875000, 0.001043, 0.003000
5120, 128, 40, 1375449.750000, 0.001044, 0.003000
5120, 128, 40, 1323018.875000, 0.001085, 0.005000
5120, 128, 40, 1333713.750000, 0.001077, 0.003000
5120, 128, 40, 1266275.375000, 0.001134, 0.003000
5120, 128, 40, 1549880.875000, 0.000927, 0.003000
5120, 128, 40, 1291233.000000, 0.001112, 0.005000
5120, 128, 40, 1321655.250000, 0.001087, 0.004000
5120, 128, 40, 1312494.250000, 0.001094, 0.004000
5120, 128, 40, 1155635.625000, 0.001243, 0.003000
5120, 128, 40, 1279379.750000, 0.001122, 0.004000
5120, 128, 40, 1339046.375000, 0.001072, 0.003000
5120, 128, 40, 1313454.625000, 0.001093, 0.003000
5120, 128, 40, 1320333.125000, 0.001088, 0.004000
5120, 128, 40, 1289526.125000, 0.001114, 0.004000
5120, 128, 40, 1465412.750000, 0.000980, 0.004000
5120, 128, 40, 1397595.875000, 0.001028, 0.004000
5120, 128, 40, 1387827.875000, 0.001035, 0.004000
5120, 128, 40, 1428606.000000, 0.001005, 0.004000
5120, 128, 40, 1296305.500000, 0.001108, 0.003000
5120, 128, 40, 1296867.250000, 0.001107, 0.004000
5120, 128, 40, 1520886.625000, 0.000944, 0.003000
5120, 128, 40, 1396247.750000, 0.001029, 0.004000
5120, 128, 40, 1345873.375000, 0.001067, 0.004000
5120, 128, 40, 1377011.375000, 0.001043, 0.004000
5120, 128, 40, 1428196.750000, 0.001006, 0.004000
5120, 128, 40, 1292162.500000, 0.001111, 0.004000
5120, 128, 40, 1446332.250000, 0.000993, 0.004000
5120, 128, 40, 1305772.875000, 0.001100, 0.003000
5120, 128, 40, 1372085.625000, 0.001047, 0.003000
5120, 128, 40, 1399208.125000, 0.001026, 0.004000
5120, 128, 40, 1351181.750000, 0.001063, 0.003000
5120, 128, 40, 1293726.875000, 0.001110, 0.003000
5120, 128, 40, 1376927.000000, 0.001043, 0.004000
5120, 128, 40, 1325324.125000, 0.001084, 0.004000
5120, 128, 40, 1298405.875000, 0.001106, 0.005000
5120, 128, 40, 1356204.250000, 0.001059, 0.004000
5120, 128, 40, 1348542.625000, 0.001065, 0.004000
5120, 128, 40, 1359820.625000, 0.001056, 0.005000
5120, 128, 40, 1392176.250000, 0.001032, 0.004000
5120, 128, 40, 1433809.500000, 0.001002, 0.004000
5120, 128, 40, 1349191.250000, 0.001064, 0.004000
5120, 128, 40, 1357024.375000, 0.001058, 0.004000
5120, 128, 40, 1358709.000000, 0.001057, 0.003000
5120, 128, 40, 1357188.625000, 0.001058, 0.004000
5120, 128, 40, 1383762.500000, 0.001038, 0.004000
5120, 128, 40, 1373303.250000, 0.001046, 0.004000
5120, 128, 40, 1401918.250000, 0.001024, 0.003000
5120, 128, 40, 1357311.875000, 0.001058, 0.003000
5120, 128, 40, 1377603.250000, 0.001042, 0.004000
5120, 128, 40, 1292609.000000, 0.001111, 0.005000
5120, 128, 40, 1325480.750000, 0.001083, 0.004000
5120, 128, 40, 1373723.625000, 0.001045, 0.004000
5120, 128, 40, 1375197.000000, 0.001044, 0.004000
5120, 128, 40, 1374902.000000, 0.001044, 0.004000
5120, 128, 40, 1433992.500000, 0.001001, 0.003000
5120, 128, 40, 1274547.000000, 0.001127, 0.004000
5120, 128, 40, 993839.000000, 0.001445, 0.004000
5120, 128, 40, 1266096.750000, 0.001134, 0.004000
5120, 128, 40, 1470020.875000, 0.000977, 0.004000
5120, 128, 40, 1396204.500000, 0.001029, 0.004000
5120, 128, 40, 1432893.875000, 0.001002, 0.004000
5120, 128, 40, 1238766.625000, 0.001159, 0.004000
5120, 128, 40, 1326303.375000, 0.001083, 0.004000
5120, 128, 40, 1353668.000000, 0.001061, 0.003000
5120, 128, 40, 1310003.875000, 0.001096, 0.003000
5120, 128, 40, 1301229.500000, 0.001104, 0.004000
5120, 128, 40, 1308399.625000, 0.001098, 0.003000
5120, 128, 40, 1265418.500000, 0.001135, 0.004000
5120, 128, 40, 1430062.750000, 0.001004, 0.003000
5120, 128, 40, 1401524.125000, 0.001025, 0.005000
5120, 128, 40, 1332051.000000, 0.001078, 0.004000
5120, 128, 40, 1345510.125000, 0.001067, 0.004000
5120, 128, 40, 1355958.500000, 0.001059, 0.004000
5120, 128, 40, 1330392.500000, 0.001079, 0.004000
5120, 128, 40, 1343657.000000, 0.001069, 0.004000
