size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 256, 20, 1261677.375000, 0.000951, 0.003000
5120, 256, 20, 1226209.125000, 0.000979, 0.004000
5120, 256, 20, 1153653.375000, 0.001041, 0.004000
5120, 256, 20, 1165590.375000, 0.001030, 0.004000
5120, 256, 20, 907275.000000, 0.001323, 0.003000
5120, 256, 20, 1261507.750000, 0.000952, 0.004000
5120, 256, 20, 1204475.625000, 0.000997, 0.004000
5120, 256, 20, 1180631.000000, 0.001017, 0.004000
5120, 256, 20, 1185181.875000, 0.001013, 0.004000
5120, 256, 20, 1231361.375000, 0.000975, 0.003000
5120, 256, 20, 1158141.250000, 0.001036, 0.004000
5120, 256, 20, 1173502.875000, 0.001023, 0.004000
5120, 256, 20, 1173062.375000, 0.001023, 0.003000
5120, 256, 20, 1274580.875000, 0.000942, 0.003000
5120, 256, 20, 1218284.250000, 0.000985, 0.004000
5120, 256, 20, 1322621.500000, 0.000908, 0.003000
5120, 256, 20, 1274191.250000, 0.000942, 0.004000
5120, 256, 20, 1239908.500000, 0.000968, 0.004000
5120, 256, 20, 1162808.250000, 0.001032, 0.003000
5120, 256, 20, 1140153.500000, 0.001053, 0.004000
5120, 256, 20, 1223011.000000, 0.000982, 0.004000
5120, 256, 20, 1200236.500000, 0.001000, 0.004000
5120, 256, 20, 1275057.500000, 0.000941, 0.003000
5120, 256, 20, 1263845.250000, 0.000950, 0.003000
5120, 256, 20, 1232008.375000, 0.000974, 0.004000
5120, 256, 20, 1158141.250000, 0.001036, 0.003000
5120, 256, 20, 1274191.250000, 0.000942, 0.004000
5120, 256, 20, 1207655.500000, 0.000994, 0.004000
5120, 256, 20, 1192491.125000, 0.001007, 0.003000
5120, 256, 20, 1120938.000000, 0.001071, 0.004000
5120, 256, 20, 1227091.625000, 0.000978, 0.003000
5120, 256, 20, 1145095.750000, 0.001048, 0.004000
5120, 256, 20, 1254085.000000, 0.000957, 0.004000
5120, 256, 20, 1245507.500000, 0.000964, 0.003000
5120, 256, 20, 1131555.250000, 0.001061, 0.004000
5120, 256, 20, 1179369.000000, 0.001018, 0.004000
5120, 256, 20, 1231644.375000, 0.000975, 0.003000
5120, 256, 20, 1061826.000000, 0.001130, 0.004000
5120, 256, 20, 1134773.000000, 0.001058, 0.004000
5120, 256, 20, 1178887.250000, 0.001018, 0.004000
5120, 256, 20, 1211203.750000, 0.000991, 0.004000
5120, 256, 20, 1294282.500000, 0.000927, 0.003000
5120, 256, 20, 953368.562500, 0.001259, 0.003000
5120, 256, 20, 1233953.625000, 0.000973, 0.003000
5120, 256, 20, 1276836.875000, 0.000940, 0.004000
5120, 256, 20, 1275057.500000, 0.000941, 0.004000
5120, 256, 20, 1187771.250000, 0.001011, 0.004000
5120, 256, 20, 1217374.875000, 0.000986, 0.003000
5120, 256, 20, 1218561.375000, 0.000985, 0.003000
5120, 256, 20, 1285368.375000, 0.000934, 0.003000
5120, 256, 20, 1281110.375000, 0.000937, 0.003000
5120, 256, 20, 1116002.500000, 0.001076, 0.003000
5120, 256, 20, 1195264.875000, 0.001004, 0.004000
5120, 256, 20, 1166424.000000, 0.001029, 0.004000
5120, 256, 20, 1150822.000000, 0.001043, 0.005000
5120, 256, 20, 967357.625000, 0.001241, 0.004000
5120, 256, 20, 1227533.375000, 0.000978, 0.004000
5120, 256, 20, 1228940.875000, 0.000977, 0.004000
5120, 256, 20, 1298089.500000, 0.000925, 0.003000
5120, 256, 20, 1098775.500000, 0.001092, 0.004000
5120, 256, 20, 1171158.000000, 0.001025, 0.003000
5120, 256, 20, 1288193.375000, 0.000932, 0.003000
5120, 256, 20, 1245838.375000, 0.000964, 0.003000
5120, 256, 20, 1236557.000000, 0.000971, 0.003000
5120, 256, 20, 1231280.500000, 0.000975, 0.004000
5120, 256, 20, 1140777.625000, 0.001052, 0.004000
5120, 256, 20, 1133298.750000, 0.001059, 0.004000
5120, 256, 20, 1262781.625000, 0.000951, 0.003000
5120, 256, 20, 1294684.625000, 0.000927, 0.004000
5120, 256, 20, 1276576.125000, 0.000940, 0.004000
5120, 256, 20, 1167585.750000, 0.001028, 0.004000
5120, 256, 20, 1169259.750000, 0.001027, 0.004000
5120, 256, 20, 1208511.375000, 0.000993, 0.003000
5120, 256, 20, 1321689.500000, 0.000908, 0.004000
5120, 256, 20, 1229303.375000, 0.000976, 0.004000
5120, 256, 20, 1153156.875000, 0.001041, 0.004000
5120, 256, 20, 1177481.000000, 0.001019, 0.004000
5120, 256, 20, 1176188.875000, 0.001021, 0.004000
5120, 256, 20, 1247703.000000, 0.000962, 0.003000
5120, 256, 20, 1218561.375000, 0.000985, 0.003000
5120, 256, 20, 1192946.125000, 0.001006, 0.004000
5120, 256, 20, 1198625.750000, 0.001001, 0.004000
5120, 256, 20, 1223130.500000, 0.000981, 0.004000
5120, 256, 20, 1208628.250000, 0.000993, 0.003000
5120, 256, 20, 1192263.625000, 0.001007, 0.004000
5120, 256, 20, 1200812.875000, 0.001000, 0.004000
5120, 256, 20, 1247080.875000, 0.000963, 0.003000
5120, 256, 20, 1191052.250000, 0.001008, 0.004000
5120, 256, 20, 1163890.500000, 0.001031, 0.004000
5120, 256, 20, 1231401.750000, 0.000975, 0.003000
5120, 256, 20, 1147372.375000, 0.001046, 0.004000
5120, 256, 20, 1158570.375000, 0.001036, 0.004000
5120, 256, 20, 921471.687500, 0.001303, 0.004000
5120, 256, 20, 1150574.875000, 0.001043, 0.003000
5120, 256, 20, 1261974.500000, 0.000951, 0.004000
5120, 256, 20, 1271384.250000, 0.000944, 0.003000
5120, 256, 20, 1223729.125000, 0.000981, 0.003000
5120, 256, 20, 1188411.000000, 0.001010, 0.004000
5120, 256, 20, 1199660.750000, 0.001001, 0.004000
5120, 256, 20, 1221696.500000, 0.000983, 0.004000
5120, 256, 20, 1129375.000000, 0.001063, 0.004000
5120, 256, 20, 1239498.750000, 0.000968, 0.003000
5120, 256, 20, 1231806.125000, 0.000974, 0.004000
5120, 256, 20, 1316864.125000, 0.000912, 0.004000
5120, 256, 20, 1249739.875000, 0.000961, 0.004000
