size_of_array, thread_per_block, number_of_all_blocks, Mflops/s, elapsed_from_GPU, elapsed_from_CPU
5120, 64, 80, 399316.218750, 0.001108, 0.004000
5120, 64, 80, 404987.843750, 0.001093, 0.004000
5120, 64, 80, 414740.875000, 0.001067, 0.005000
5120, 64, 80, 401519.062500, 0.001102, 0.004000
5120, 64, 80, 398006.125000, 0.001112, 0.004000
5120, 64, 80, 412145.187500, 0.001074, 0.005000
5120, 64, 80, 394621.625000, 0.001121, 0.004000
5120, 64, 80, 387099.187500, 0.001143, 0.004000
5120, 64, 80, 404585.031250, 0.001094, 0.005000
5120, 64, 80, 402840.718750, 0.001099, 0.003000
5120, 64, 80, 406368.312500, 0.001089, 0.004000
5120, 64, 80, 399812.656250, 0.001107, 0.004000
5120, 64, 80, 407698.093750, 0.001085, 0.004000
5120, 64, 80, 396624.875000, 0.001116, 0.005000
5120, 64, 80, 388491.156250, 0.001139, 0.004000
5120, 64, 80, 391283.125000, 0.001131, 0.004000
5120, 64, 80, 417142.875000, 0.001061, 0.003000
5120, 64, 80, 393666.750000, 0.001124, 0.004000
5120, 64, 80, 394847.000000, 0.001121, 0.004000
5120, 64, 80, 377102.937500, 0.001174, 0.004000
5120, 64, 80, 409036.656250, 0.001082, 0.004000
5120, 64, 80, 384355.750000, 0.001151, 0.004000
5120, 64, 80, 413537.875000, 0.001070, 0.004000
5120, 64, 80, 403134.312500, 0.001098, 0.005000
5120, 64, 80, 382379.000000, 0.001157, 0.004000
5120, 64, 80, 391449.250000, 0.001130, 0.003000
5120, 64, 80, 386936.781250, 0.001144, 0.004000
5120, 64, 80, 367395.125000, 0.001205, 0.003000
5120, 64, 80, 405106.468750, 0.001092, 0.003000
5120, 64, 80, 400913.750000, 0.001104, 0.004000
5120, 64, 80, 394284.062500, 0.001122, 0.004000
5120, 64, 80, 386547.406250, 0.001145, 0.004000
5120, 64, 80, 392359.968750, 0.001128, 0.004000
5120, 64, 80, 388775.125000, 0.001138, 0.003000
5120, 64, 80, 408179.468750, 0.001084, 0.003000
5120, 64, 80, 361318.906250, 0.001225, 0.003000
5120, 64, 80, 420146.437500, 0.001053, 0.003000
5120, 64, 80, 389761.281250, 0.001135, 0.004000
5120, 64, 80, 383854.343750, 0.001153, 0.004000
5120, 64, 80, 395196.718750, 0.001120, 0.004000
5120, 64, 80, 394374.000000, 0.001122, 0.004000
5120, 64, 80, 395841.562500, 0.001118, 0.003000
5120, 64, 80, 377102.937500, 0.001174, 0.004000
5120, 64, 80, 420516.968750, 0.001052, 0.003000
5120, 64, 80, 408022.875000, 0.001085, 0.004000
5120, 64, 80, 375210.125000, 0.001179, 0.005000
5120, 64, 80, 402817.250000, 0.001099, 0.003000
5120, 64, 80, 393689.187500, 0.001124, 0.003000
5120, 64, 80, 391560.125000, 0.001130, 0.004000
5120, 64, 80, 424688.093750, 0.001042, 0.004000
5120, 64, 80, 378517.031250, 0.001169, 0.004000
5120, 64, 80, 379181.218750, 0.001167, 0.004000
5120, 64, 80, 402208.062500, 0.001100, 0.004000
5120, 64, 80, 360640.468750, 0.001227, 0.004000
5120, 64, 80, 357378.562500, 0.001238, 0.004000
5120, 64, 80, 373891.375000, 0.001184, 0.003000
5120, 64, 80, 403275.343750, 0.001097, 0.003000
5120, 64, 80, 388829.812500, 0.001138, 0.004000
5120, 64, 80, 440656.406250, 0.001004, 0.003000
5120, 64, 80, 386969.218750, 0.001144, 0.004000
5120, 64, 80, 386029.468750, 0.001146, 0.003000
5120, 64, 80, 395649.031250, 0.001118, 0.003000
5120, 64, 80, 419700.156250, 0.001054, 0.004000
5120, 64, 80, 410018.968750, 0.001079, 0.004000
5120, 64, 80, 402032.687500, 0.001101, 0.004000
5120, 64, 80, 406978.218750, 0.001087, 0.004000
5120, 64, 80, 393118.406250, 0.001126, 0.004000
5120, 64, 80, 380422.500000, 0.001163, 0.004000
5120, 64, 80, 396159.031250, 0.001117, 0.004000
5120, 64, 80, 382527.093750, 0.001157, 0.003000
5120, 64, 80, 392348.812500, 0.001128, 0.004000
